source_controller,status,target_sources,tests,remaining
src/main/java/arisuinfo/cm/auth/auth/web/AuthAplyController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/AuthorityWorkflowController.java;src/main/java/com/example/permissiondemo/authorization/AuthorizationCatalog.java;src/main/java/com/example/permissiondemo/authorization/AuthorityRequestService.java,src/test/java/com/example/permissiondemo/authorization/AuthorityRequestServiceTest.java;src/test/java/com/example/permissiondemo/web/AuthorityWorkflowSecurityTest.java,원본 트리·조회조건·권한 이력 모델과 전체 화면 계약 미완료
src/main/java/arisuinfo/cm/auth/auth/web/AuthController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/AuthorityWorkflowController.java;src/main/java/com/example/permissiondemo/authorization/AuthorizationCatalog.java;src/main/java/com/example/permissiondemo/authorization/AuthorityRequestService.java,src/test/java/com/example/permissiondemo/authorization/AuthorityRequestServiceTest.java;src/test/java/com/example/permissiondemo/web/AuthorityWorkflowSecurityTest.java,원본 트리·조회조건·권한 이력 모델과 전체 화면 계약 미완료
src/main/java/arisuinfo/cm/auth/menu/web/MenuController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/AdminController.java;src/main/java/com/example/permissiondemo/authorization/AuthorizationCatalog.java,src/test/java/com/example/permissiondemo/authorization/CommonCodeHierarchyTest.java;src/test/java/com/example/permissiondemo/authorization/ProgramAuthorizationServiceTest.java,원본 전체 컬럼·양방향 조회·출력 계약 미완료
src/main/java/arisuinfo/cm/auth/pgm/web/PgmController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/AdminController.java;src/main/java/com/example/permissiondemo/authorization/AuthorizationCatalog.java,src/test/java/com/example/permissiondemo/authorization/CommonCodeHierarchyTest.java;src/test/java/com/example/permissiondemo/authorization/ProgramAuthorizationServiceTest.java,원본 전체 컬럼·양방향 조회·출력 계약 미완료
src/main/java/arisuinfo/cm/bbs/web/BbsDocMngController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/ContentController.java;src/main/java/com/example/permissiondemo/content/ContentService.java,src/test/java/com/example/permissiondemo/web/CommonWorkIntegrationTest.java,게시판별 전체 필드·조회수·팝업·시스템/유형별 약관 등 미완료
src/main/java/arisuinfo/cm/bbs/web/BbsFaqMngController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/ContentController.java;src/main/java/com/example/permissiondemo/content/ContentService.java,src/test/java/com/example/permissiondemo/web/CommonWorkIntegrationTest.java,게시판별 전체 필드·조회수·팝업·시스템/유형별 약관 등 미완료
src/main/java/arisuinfo/cm/bbs/web/BbsMngController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/BoardController.java;src/main/java/com/example/permissiondemo/content/BoardService.java;src/main/java/com/example/permissiondemo/content/ContentService.java,src/test/java/com/example/permissiondemo/web/CommonWorkIntegrationTest.java,게시판 구분·사용/공지/답변/첨부 정책·조회수 구현; 원본 자동 번호·팝업·메인 롤링·전체 컬럼 미완료
src/main/java/arisuinfo/cm/bbs/web/BbsNtcMngController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/ContentController.java;src/main/java/com/example/permissiondemo/content/ContentService.java,src/test/java/com/example/permissiondemo/web/CommonWorkIntegrationTest.java,게시판별 전체 필드·조회수·팝업·시스템/유형별 약관 등 미완료
src/main/java/arisuinfo/cm/bbs/web/BbsQnaMngController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/ContentController.java;src/main/java/com/example/permissiondemo/content/ContentService.java,src/test/java/com/example/permissiondemo/web/CommonWorkIntegrationTest.java,게시판별 전체 필드·조회수·팝업·시스템/유형별 약관 등 미완료
src/main/java/arisuinfo/cm/bbs/web/BbsUtztnTrmsAgreController.java,PARTIAL,src/main/java/com/example/permissiondemo/web/ContentController.java;src/main/java/com/example/permissiondemo/content/ContentService.java,src/test/java/com/example/permissiondemo/web/CommonWorkIntegrationTest.java,게시판별 전체 필드·조회수·팝업·시스템/유형별 약관 등 미완료
